Entity,Code,Year, Detected victims of human trafficking
Burkina Faso,BFA,2007,289
Colombia,COL,2007,6
Germany,DEU,2007,7
Mali,MLI,2007,5
Netherlands,NLD,2007,16
Norway,NOR,2007,19
Philippines,PHL,2007,5
Romania,ROU,2007,37
Serbia,SRB,2007,16
Tajikistan,TJK,2007,7
Togo,TGO,2007,144
Belarus,BLR,2008,61
Burkina Faso,BFA,2008,161
Germany,DEU,2008,59
Ghana,GHA,2008,27
Mexico,MEX,2008,14
Netherlands,NLD,2008,5
Norway,NOR,2008,45
Philippines,PHL,2008,12
Qatar,QAT,2008,10
Romania,ROU,2008,23
Serbia,SRB,2008,9
Togo,TGO,2008,213
Armenia,ARM,2009,5
Bolivia,BOL,2009,7
Burkina Faso,BFA,2009,603
Germany,DEU,2009,73
Nepal,NPL,2009,6
Netherlands,NLD,2009,7
Norway,NOR,2009,19
Paraguay,PRY,2009,30
Peru,PER,2009,25
Romania,ROU,2009,32
Serbia,SRB,2009,15
Tajikistan,TJK,2009,5
Togo,TGO,2009,203
United Kingdom,GBR,2009,60
Argentina,ARG,2010,7
Burkina Faso,BFA,2010,426
Egypt,EGY,2010,8
Germany,DEU,2010,13
Ireland,IRL,2010,6
Mexico,MEX,2010,26
Myanmar,MMR,2010,29
Netherlands,NLD,2010,7
Nigeria,NGA,2010,170
Peru,PER,2010,107
Romania,ROU,2010,37
Serbia,SRB,2010,5
Tajikistan,TJK,2010,5
Togo,TGO,2010,155
United Kingdom,GBR,2010,18
United States,USA,2010,38
Argentina,ARG,2011,11
Bosnia and Herzegovina,BIH,2011,7
Bulgaria,BGR,2011,10
Burkina Faso,BFA,2011,799
Congo,COG,2011,9
Dominican Republic,DOM,2011,32
Germany,DEU,2011,18
Mexico,MEX,2011,15
Moldova,MDA,2011,7
Myanmar,MMR,2011,9
Netherlands,NLD,2011,10
Nigeria,NGA,2011,141
Norway,NOR,2011,26
Peru,PER,2011,26
Romania,ROU,2011,30
Serbia,SRB,2011,6
Togo,TGO,2011,90
United Kingdom,GBR,2011,56
United States,USA,2011,41
Venezuela,VEN,2011,9
Argentina,ARG,2012,5
Belarus,BLR,2012,5
Bolivia,BOL,2012,58
Bulgaria,BGR,2012,11
Canada,CAN,2012,18
Czechia,CZE,2012,18
Dominican Republic,DOM,2012,9
Ecuador,ECU,2012,16
Germany,DEU,2012,13
Honduras,HND,2012,6
Ireland,IRL,2012,13
Italy,ITA,2012,102
Jamaica,JAM,2012,21
Moldova,MDA,2012,6
Mozambique,MOZ,2012,10
Netherlands,NLD,2012,25
Nigeria,NGA,2012,105
Norway,NOR,2012,30
Philippines,PHL,2012,15
Romania,ROU,2012,43
Serbia,SRB,2012,6
Thailand,THA,2012,141
United Kingdom,GBR,2012,42
United States,USA,2012,63
Uzbekistan,UZB,2012,15
Venezuela,VEN,2012,5
Argentina,ARG,2013,10
Bolivia,BOL,2013,28
Bulgaria,BGR,2013,17
Czechia,CZE,2013,31
Ecuador,ECU,2013,50
Egypt,EGY,2013,24
Germany,DEU,2013,14
Guinea,GIN,2013,6
Honduras,HND,2013,6
Ireland,IRL,2013,9
Italy,ITA,2013,92
Moldova,MDA,2013,8
Netherlands,NLD,2013,32
Nigeria,NGA,2013,387
Norway,NOR,2013,10
Paraguay,PRY,2013,5
Philippines,PHL,2013,28
Romania,ROU,2013,22
Serbia,SRB,2013,5
Thailand,THA,2013,107
Uganda,UGA,2013,236
United Kingdom,GBR,2013,44
United States,USA,2013,43
Uzbekistan,UZB,2013,30
Argentina,ARG,2014,6
Bolivia,BOL,2014,23
Bosnia and Herzegovina,BIH,2014,13
Bulgaria,BGR,2014,12
Burkina Faso,BFA,2014,351
Ecuador,ECU,2014,10
Egypt,EGY,2014,48
Germany,DEU,2014,7
Guatemala,GTM,2014,19
Guinea,GIN,2014,12
Hungary,HUN,2014,18
Ireland,IRL,2014,8
Italy,ITA,2014,110
Laos,LAO,2014,42
Mexico,MEX,2014,12
Netherlands,NLD,2014,65
Nigeria,NGA,2014,458
Norway,NOR,2014,18
Paraguay,PRY,2014,6
Peru,PER,2014,21
Philippines,PHL,2014,39
Romania,ROU,2014,10
Tajikistan,TJK,2014,6
Thailand,THA,2014,57
United Kingdom,GBR,2014,52
United States,USA,2014,55
Uzbekistan,UZB,2014,25
Argentina,ARG,2015,13
Austria,AUT,2015,7
Bolivia,BOL,2015,22
Czechia,CZE,2015,8
Denmark,DNK,2015,5
Egypt,EGY,2015,37
France,FRA,2015,68
Germany,DEU,2015,7
Guinea,GIN,2015,16
Honduras,HND,2015,17
Hungary,HUN,2015,35
Ireland,IRL,2015,6
Italy,ITA,2015,89
Laos,LAO,2015,23
Lithuania,LTU,2015,5
Mauritius,MUS,2015,10
Mexico,MEX,2015,368
Myanmar,MMR,2015,46
Netherlands,NLD,2015,70
Niger,NER,2015,18
Nigeria,NGA,2015,288
Norway,NOR,2015,15
Peru,PER,2015,92
Philippines,PHL,2015,22
Romania,ROU,2015,40
Tajikistan,TJK,2015,6
Thailand,THA,2015,169
Turkey,TUR,2015,17
Ukraine,UKR,2015,5
United Kingdom,GBR,2015,41
United States,USA,2015,65
Uzbekistan,UZB,2015,27
Algeria,DZA,2016,7
Argentina,ARG,2016,12
Belarus,BLR,2016,7
Bolivia,BOL,2016,28
Cote d'Ivoire,CIV,2016,6
Croatia,HRV,2016,6
Denmark,DNK,2016,5
Dominican Republic,DOM,2016,20
Finland,FIN,2016,13
France,FRA,2016,83
Germany,DEU,2016,8
Greece,GRC,2016,5
Guinea,GIN,2016,12
Honduras,HND,2016,7
Hungary,HUN,2016,43
Ireland,IRL,2016,9
Italy,ITA,2016,96
Mexico,MEX,2016,41
Myanmar,MMR,2016,15
Netherlands,NLD,2016,54
Niger,NER,2016,18
Nigeria,NGA,2016,112
Norway,NOR,2016,9
Paraguay,PRY,2016,13
Peru,PER,2016,67
Philippines,PHL,2016,40
Romania,ROU,2016,42
Slovakia,SVK,2016,5
Tajikistan,TJK,2016,5
Thailand,THA,2016,42
Tunisia,TUN,2016,72
United Kingdom,GBR,2016,39
United States,USA,2016,83
Uzbekistan,UZB,2016,34
Angola,AGO,2017,12
Argentina,ARG,2017,21
Austria,AUT,2017,5
Belarus,BLR,2017,7
Benin,BEN,2017,174
Bolivia,BOL,2017,7
Bulgaria,BGR,2017,5
Burkina Faso,BFA,2017,564
Cameroon,CMR,2017,9
Canada,CAN,2017,79
Croatia,HRV,2017,7
Dominican Republic,DOM,2017,13
Ecuador,ECU,2017,10
Egypt,EGY,2017,20
Finland,FIN,2017,10
Germany,DEU,2017,62
Guinea,GIN,2017,10
Honduras,HND,2017,25
India,IND,2017,2037
Ireland,IRL,2017,5
Italy,ITA,2017,74
Kazakhstan,KAZ,2017,6
Malaysia,MYS,2017,56
Mali,MLI,2017,24
Mexico,MEX,2017,90
Moldova,MDA,2017,17
Morocco,MAR,2017,9
Myanmar,MMR,2017,12
Netherlands,NLD,2017,39
Niger,NER,2017,44
Nigeria,NGA,2017,360
Peru,PER,2017,16
Romania,ROU,2017,82
Russia,RUS,2017,34
Tajikistan,TJK,2017,5
Thailand,THA,2017,49
Tunisia,TUN,2017,160
Turkey,TUR,2017,80
Uganda,UGA,2017,41
United Kingdom,GBR,2017,1304
United States,USA,2017,146
Uzbekistan,UZB,2017,11
Angola,AGO,2018,5
Argentina,ARG,2018,15
Belarus,BLR,2018,17
Brazil,BRA,2018,6
Cote d'Ivoire,CIV,2018,110
Denmark,DNK,2018,10
Ecuador,ECU,2018,30
Egypt,EGY,2018,57
El Salvador,SLV,2018,6
Estonia,EST,2018,5
Finland,FIN,2018,6
France,FRA,2018,76
Germany,DEU,2018,8
Honduras,HND,2018,5
India,IND,2018,1587
Indonesia,IDN,2018,10
Italy,ITA,2018,79
Malaysia,MYS,2018,11
Mexico,MEX,2018,87
Moldova,MDA,2018,11
Namibia,NAM,2018,8
Nepal,NPL,2018,50
Netherlands,NLD,2018,10
Niger,NER,2018,7
Nigeria,NGA,2018,139
Peru,PER,2018,6
Romania,ROU,2018,30
Russia,RUS,2018,89
South Africa,ZAF,2018,5
Spain,ESP,2018,11
Sudan,SDN,2018,17
Tajikistan,TJK,2018,5
Thailand,THA,2018,130
Tunisia,TUN,2018,95
Uganda,UGA,2018,49
United Kingdom,GBR,2018,2248
United States,USA,2018,192
Uzbekistan,UZB,2018,17
Angola,AGO,2019,5
Argentina,ARG,2019,31
Austria,AUT,2019,6
Belarus,BLR,2019,10
Brazil,BRA,2019,17
Costa Rica,CRI,2019,14
Denmark,DNK,2019,5
Dominican Republic,DOM,2019,6
Finland,FIN,2019,7
France,FRA,2019,68
Germany,DEU,2019,8
Greece,GRC,2019,23
India,IND,2019,1742
Iraq,IRQ,2019,12
Italy,ITA,2019,108
Lebanon,LBN,2019,6
Moldova,MDA,2019,18
Myanmar,MMR,2019,72
Namibia,NAM,2019,10
Nepal,NPL,2019,144
Nigeria,NGA,2019,150
Paraguay,PRY,2019,9
Peru,PER,2019,146
Portugal,PRT,2019,5
Romania,ROU,2019,39
Russia,RUS,2019,44
Spain,ESP,2019,7
Tajikistan,TJK,2019,5
Tunisia,TUN,2019,151
United Kingdom,GBR,2019,3470
United States,USA,2019,188
Uzbekistan,UZB,2019,16
Argentina,ARG,2020,24
Bulgaria,BGR,2020,27
Colombia,COL,2020,6
Costa Rica,CRI,2020,6
Denmark,DNK,2020,8
Dominican Republic,DOM,2020,11
Egypt,EGY,2020,148
Finland,FIN,2020,6
France,FRA,2020,17
Germany,DEU,2020,22
Greece,GRC,2020,39
Honduras,HND,2020,8
Hungary,HUN,2020,5
India,IND,2020,1377
Italy,ITA,2020,100
Mexico,MEX,2020,55
Morocco,MAR,2020,37
Nepal,NPL,2020,396
Nigeria,NGA,2020,154
North Macedonia,MKD,2020,6
Paraguay,PRY,2020,59
Peru,PER,2020,137
Romania,ROU,2020,49
Russia,RUS,2020,53
Sierra Leone,SLE,2020,13
Thailand,THA,2020,25
Tunisia,TUN,2020,44
Uganda,UGA,2020,35
United Kingdom,GBR,2020,3843
United States,USA,2020,264
Uzbekistan,UZB,2020,10
Finland,FIN,2021,17
Greece,GRC,2021,24
Italy,ITA,2021,96
Malaysia,MYS,2021,34
Romania,ROU,2021,27